username,followers,votes
nenacaviness,20,5
iamvah,20,7
chrisbowerbank,20,8
ssttiivveennss,20,9
redpandacan,20,10
garrettw1989,20,14
zzzmarcus,20,14
tim_chroma,20,17
iammiren,20,18
grinsergrinser,20,21
myroslava_dronuk,20,22
jonkykong,20,23
vinodiyengar,20,29
sashs0011,20,30
ben_giboudaud,20,35
jib821,20,42
mattakaye,20,43
eli_white,20,46
derrickshowers,20,50
godisanacronym,20,50
nick_telson,20,50
aabapa,20,52
forddavis,20,56
draco_draco,20,59
heikopaiko,20,63
fameal,20,70
alitorbati,20,75
macleanjr,20,77
lucianavadani,20,79
alexjimandrews,20,97
briantrove,20,101
whoisnatelam,20,114
polyzeiler,20,116
kyle_byers,20,123
m3tthew,20,158
rock3m,20,190
njcreegan,20,467
vivekvasani955,20,599
mait_muntel,20,874
djonbutter,20,914
unluisco,21,2
fariliang,21,4
dev_gar,21,5
feoh,21,5
therealmattdyer,21,5
hashir,21,6
mikethefifth,21,6
kevinmcconnell,21,9
harsh_bhimjyani,21,12
vishal_patel,21,13
askdaylen,21,16
elegant_entre,21,18
jeremygrenier,21,18
mhagens,21,29
petercyun,21,30
phimema,21,32
sherwoodyao,21,32
bigzmultiverse,21,35
lancesells,21,37
_deletedantoniasdfsffhrus,21,39
jay_gilbert,21,40
agodvin,21,42
johnpaulhq,21,45
juandiego_farah,21,49
brandonmowat,21,54
tattle_jz,21,55
snapdrop42,21,58
kevinayuque,21,60
ykguler,21,60
ysakucoglu,21,70
music47ell,21,76
yuanjen,21,81
theleovogel,21,82
mitchp_jansen,21,85
tedcarstensen,21,89
boaz_boazin,21,96
jeck_landin,21,98
pigstake,21,129
parkernewman,21,134
dannywitters,21,146
roasm,21,182
teddyespo,21,194
42burnside,21,195
csaba_kissi,21,283
davidecalignano,21,296
mstanz11,21,567
kasperiapell,21,773
ymg,21,1057
ryanmarr,22,3
beedelma,22,4
irfaan,22,4
xoxoadrienne,22,4
filipovski,22,6
danberezovsky,22,8
glendon_ray,22,9
brett_hardin,22,12
justenpalmer,22,12
manuelsdiary,22,13
philhaddad,22,14
kam_gol,22,17
b3arfruit,22,18
threesyllables,22,19
omriavisar,22,21
_ergo_,22,23
johnny5sf,22,29
elpenta,22,33
yask123,22,37
more_orderly,22,39
jhyu,22,43
nicketc,22,44
ayeletlee,22,48
chasehwill,22,64
wertrose,22,71
keviniphone,22,79
ramesjamsay,22,83
theezaven,22,85
jonzhan,22,87
cyprian,22,92
abhkes_krishna,22,111
elliotrthomas,22,114
doriyona,22,117
ziggym0,22,129
hichaelmui,22,146
atgreenhill,22,184
carloscorral,22,191
driesdeschepper,22,227
tom_harg,22,238
dg_robinson,22,239
mayefsky,22,246
benjebara,22,292
saikitanabe,22,316
joedandachli,22,417
killerawesome,23,4
peterfreeby,23,6
anh,23,7
andrewcassetti,23,11
leachy114,23,13
